fecha,partido,resultado,competencia,team_id
"Lun., 3 de Jun.",Gibraltar,0 - 2,Escocia,580
"Vie., 5 de Jun.",Paraguay,4 - 0,Nicaragua,210
"Mar., 31 de Mar.",Marruecos,2 - 1,Paraguay,210
"Vie., 27 de Mar.",Grecia,0 - 1,Paraguay,210
"Mar., 18 de Nov.",México,1 - 2,Paraguay,210
"Sáb., 15 de Nov.",Estados Unidos,2 - 1,Paraguay,210
"Mar., 14 de Oct.",Corea del Sur,2 - 0,Paraguay,210
"Vie., 10 de Oct.",Japón,2 - 2,Paraguay,210
"Mar., 9 de Sep.",Perú,0 - 1,Paraguay,210
"Jue., 4 de Sep.",Paraguay,0 - 0,Ecuador,210
"Mar., 10 de Jun.",Brasil,1 - 0,Paraguay,210
"Jue., 5 de Jun.",Paraguay,2 - 0,Uruguay,210
"Mar., 25 de Mar.",Colombia,2 - 2,Paraguay,210
"Jue., 20 de Mar.",Paraguay,1 - 0,Chile,210
"Mar., 19 de Nov.",Bolívia,2 - 2,Paraguay,210
"Jue., 14 de Nov.",Paraguay,2 - 1,Argentina,210
"Mar., 15 de Oct.",Paraguay,2 - 1,Venezuela,210
"Jue., 10 de Oct.",Ecuador,0 - 0,Paraguay,210
"Mar., 10 de Sep.",Paraguay,1 - 0,Brasil,210
"Vie., 6 de Sep.",Uruguay,0 - 0,Paraguay,210
"Mar., 2 de Jul.",Costa Rica,2 - 1,Paraguay,210
"Vie., 28 de Jun.",Paraguay,1 - 4,Brasil,210
"Lun., 24 de Jun.",Colombia,2 - 1,Paraguay,210
"Dom., 16 de Jun.",Panamá,0 - 1,Paraguay,210
"Mar., 11 de Jun.",Chile,3 - 0,Paraguay,210
"Vie., 7 de Jun.",Perú,0 - 0,Paraguay,210
"Sáb., 6 de Jun.",Suiza,1 - 1,Australia,628
"Sáb., 30 de May.",México,1 - 0,Australia,628
"Mar., 31 de Mar.",Australia,5 - 1,Curaçao,628
"Vie., 27 de Mar.",Australia,1 - 0,Camerún,628
"Mar., 18 de Nov.",Colombia,3 - 0,Australia,628
"Vie., 14 de Nov.",Venezuela,1 - 0,Australia,628
"Mar., 14 de Oct.",Estados Unidos,2 - 1,Australia,628
"Vie., 10 de Oct.",Canadá,0 - 1,Australia,628
"Mar., 9 de Sep.",Nueva Zelanda,1 - 3,Australia,628
"Vie., 5 de Sep.",Australia,1 - 0,Nueva Zelanda,628
"Mar., 10 de Jun.",Arabia Saudita,1 - 2,Australia,628
"Jue., 5 de Jun.",Australia,1 - 0,Japón,628
"Mar., 25 de Mar.",China,0 - 2,Australia,628
"Jue., 20 de Mar.",Australia,5 - 1,Indonesia,628
"Mar., 19 de Nov.",Baréin,2 - 2,Australia,628
"Jue., 14 de Nov.",Australia,0 - 0,Arabia Saudita,628
"Mar., 15 de Oct.",Japón,1 - 1,Australia,628
"Jue., 10 de Oct.",Australia,3 - 1,China,628
"Mar., 10 de Sep.",Indonesia,0 - 0,Australia,628
"Jue., 5 de Sep.",Australia,0 - 1,Baréin,628
"Mar., 11 de Jun.",Australia,5 - 0,Palestina,628
"Jue., 6 de Jun.",Bangladesh,0 - 2,Australia,628
"Mar., 26 de Mar.",Líbano,0 - 5,Australia,628
"Jue., 21 de Mar.",Australia,2 - 0,Líbano,628
"Vie., 2 de Feb.",Australia,1 - 2,Corea del Sur,628
"Sáb., 6 de Jun.",Venezuela,1 - 2,Turquía,465
"Lun., 1 de Jun.",Turquía,4 - 0,North Macedonia,465
"Mar., 31 de Mar.",Kosovo,0 - 1,Turquía,465
"Jue., 26 de Mar.",Turquía,1 - 0,Rumania,465
"Mar., 18 de Nov.",España,2 - 2,Turquía,465
"Sáb., 15 de Nov.",Turquía,2 - 0,Bulgaria,465
"Mar., 14 de Oct.",Turquía,4 - 1,Georgia,465
"Sáb., 11 de Oct.",Bulgaria,1 - 6,Turquía,465
"Dom., 7 de Sep.",Turquía,0 - 6,España,465
"Jue., 4 de Sep.",Georgia,2 - 3,Turquía,465
"Mar., 10 de Jun.",México,1 - 0,Turquía,465
"Sáb., 7 de Jun.",Estados Unidos,1 - 2,Turquía,465
"Dom., 23 de Mar.",Hungría,0 - 3Vuelta · Turquía gana 6-1 en marcador global,Turquía,465
"Jue., 20 de Mar.",Turquía,3 - 1Ida,Hungría,465
"Mar., 19 de Nov.",Montenegro,3 - 1,Turquía,465
"Sáb., 16 de Nov.",Turquía,0 - 0,Gales,465
"Lun., 14 de Oct.",Islandia,2 - 4,Turquía,465
"Vie., 11 de Oct.",Turquía,1 - 0,Montenegro,465
"Lun., 9 de Sep.",Turquía,3 - 1,Islandia,465
